project	project_alt_name	tag2	tag	category	year	annual_allocation	non_annual_allocation	total	notes_annual	notes_non-annual
Hong Kong Playground Association		Social welfare provision (HKCSS agency members)	Other	Community services	1981	214		214		
Hong Kong Playground Association		Social welfare provision (HKCSS agency members)	Other	Community services	1982	470		470		
Hong Kong Playground Association		Social welfare provision (HKCSS agency members)	Other	Community services	1983	510		510		
Hong Kong Playground Association		Social welfare provision (HKCSS agency members)	Other	Community services	1984		101	101		
Hong Kong Playground Association		Social welfare provision (HKCSS agency members)	Other	Community services	1985	864		864		
Hong Kong Playground Association		Social welfare provision (HKCSS agency members)	Other	Community services	1986	575		575		
Hong Kong Playground Association		Social welfare provision (HKCSS agency members)	Other	Community services	1987	5155		5155		
Hong Kong Playground Association		Social welfare provision (HKCSS agency members)	Other	Community services	1988	3176		3176		
Hong Kong Playground Association		Social welfare provision (HKCSS agency members)	Other	Community services	1989	4700		4700		
Hong Kong Playground Association		Social welfare provision (HKCSS agency members)	Other	Community services	1990	750		750		
Hong Kong Playground Association		Social welfare provision (HKCSS agency members)	Other	Community services	1991	840		840		
Hong Kong Playground Association		Social welfare provision (HKCSS agency members)	Other	Community services	1992	900		900		
Hong Kong Playground Association		Social welfare provision (HKCSS agency members)	Other	Community services	1993	980		980		
Hong Kong Playground Association		Social welfare provision (HKCSS agency members)	Other	Community services	1994	1050		1050		
Hong Kong Playground Association		Social welfare provision (HKCSS agency members)	Other	Community services	1995	1200		1200		
Hong Kong Playground Association		Social welfare provision (HKCSS agency members)	Other	Community services	1996	1883		1883		
Hong Kong Playground Association		Social welfare provision (HKCSS agency members)	Other	Community services	1997	1439		1439		
Hong Kong Playground Association		Social welfare provision (HKCSS agency members)	Other	Community services	1998	1628	2129	3757		Two items: 2000 to construct a multi-purpose theatre/playground at Silvermine Bay Outdoor Recreation Camp; 129 to upgrade building safety and fire safety installations at Tung Chung Outdoor Recreation Camp.
Hong Kong Playground Association		Social welfare provision (HKCSS agency members)	Other	Community services	1999	1652		1652		
Hong Kong Playground Association		Social welfare provision (HKCSS agency members)	Other	Community services	2000	1652	6693	8345		"Two items: 5,000 to subsidise the upgrading of facilities of its Integrated Service Centre for Children and Youth - Upper Kwai Chung; 1,693 to subsidise a re-education programme for young school dropouts - ""Unusual Academy"" service project for two years"
Hong Kong Playground Association		Social welfare provision (HKCSS agency members)	Other	Community services	2001	1702	983	2685		Additional grant for the construction of a multi-purpose theatre/playground at Silvermine Bay Outdoor Recreation Camp
Hong Kong Playground Association		Social welfare provision (HKCSS agency members)	Other	Community services	2002	1702		1702		
Hong Kong Playground Association		Social welfare provision (HKCSS agency members)	Other	Community services	2003	1702	1570	3272		To continue to support its Unusual Academy for two years
Hong Kong Playground Association		Social welfare provision (HKCSS agency members)	Other	Community services	2004	1702		1702		
Hong Kong Playground Association		Social welfare provision (HKCSS agency members)	Other	Community services	2005	1692		1692	"To fund its youth development and training programme, Project Pillars"	
Hong Kong Playground Association		Social welfare provision (HKCSS agency members)	Other	Community services	2006	1501		1501	To fund its Unusual Academy project	
Hong Kong Playground Association		Social welfare provision (HKCSS agency members)	Other	Community services	2007	1500	177	1677	To fund its Unusual Academy project	To fund the acquisition of a replacement van for its two outdoor recreational camps on Lantau Island
Hong Kong Playground Association		Social welfare provision (HKCSS agency members)	Other	Community services	2008	1818		1818	To fund its Unusual Academy	
Hong Kong Playground Association		Social welfare provision (HKCSS agency members)	Other	Community services	2009	1818		1818	To fund its Unusual Academy	
Hong Kong Playground Association		Social welfare provision (HKCSS agency members)	Other	Community services	2010	1818	96730	98548	To fund its Unusual Academy	To fund the redevelopment of the Silvermine Bay Outdoor Recreation Camp
Hong Kong Playground Association		Social welfare provision (HKCSS agency members)	Other	Community services	2011	2748		2748	To fund its Unusual Academy	
Hong Kong Playground Association		Social welfare provision (HKCSS agency members)	Other	Community services	2012	2748	15870	18618	To fund its Unusual Academy	To fund the facilities enhancement at the Southorn Indoor Stadium
Hong Kong Playground Association		Social welfare provision (HKCSS agency members)	Other	Community services	2013	2748	43610	46358	To fund its Unusual Academy	Supplementary grant for the redevelopment of the Silvermine Bay Outdoor Recreation Camp
Hong Kong Playground Association		Social welfare provision (HKCSS agency members)	Other	Community services	2014	2972		2972	To fund its Unusual Academy	
Hong Kong Playground Association		Social welfare provision (HKCSS agency members)	Other	Community services	2015	2972		2972	To fund its Unusual Academy	
Hong Kong Playground Association		Social welfare provision (HKCSS agency members)	Other	Community services	2016	2972	35180	38152	To fund its Unusual Academy	"To fund the renovation of its Tung Chung Outdoor Recreation Camp, implement a three-year innovative sports outreach programme in Islands district leveraging on the renovated camp and implement a three-year citywide ""Innovative Sports for All"" community programme"
Hong Kong Playground Association		Social welfare provision (HKCSS agency members)	Other	Community services	2017	3000		3000	To fund its Unusual Academy	
Hong Kong Policy Research Foundation Ltd		Other	Other	Education and training	1980			0		
Hong Kong Policy Research Foundation Ltd		Other	Other	Education and training	1981			0		
Hong Kong Policy Research Foundation Ltd		Other	Other	Education and training	1982			0		
Hong Kong Policy Research Foundation Ltd		Other	Other	Education and training	1983			0		
Hong Kong Policy Research Foundation Ltd		Other	Other	Education and training	1984			0		
Hong Kong Policy Research Foundation Ltd		Other	Other	Education and training	1985			0		
Hong Kong Policy Research Foundation Ltd		Other	Other	Education and training	1986			0		
Hong Kong Policy Research Foundation Ltd		Other	Other	Education and training	1987			0		
Hong Kong Policy Research Foundation Ltd		Other	Other	Education and training	1988			0		
Hong Kong Policy Research Foundation Ltd		Other	Other	Education and training	1989			0		
Hong Kong Policy Research Foundation Ltd		Other	Other	Education and training	1990			0		
Hong Kong Policy Research Foundation Ltd		Other	Other	Education and training	1991			0		
Hong Kong Policy Research Foundation Ltd		Other	Other	Education and training	1992			0		
Hong Kong Policy Research Foundation Ltd		Other	Other	Education and training	1993			0		
Hong Kong Policy Research Foundation Ltd		Other	Other	Education and training	1994			0		
Hong Kong Policy Research Foundation Ltd		Other	Other	Education and training	1995			0		
Hong Kong Policy Research Foundation Ltd		Other	Other	Education and training	1996			0		
Hong Kong Policy Research Foundation Ltd		Other	Other	Education and training	1997			0		
Hong Kong Policy Research Foundation Ltd		Other	Other	Education and training	1998			0		
Hong Kong Policy Research Foundation Ltd		Other	Other	Education and training	1999			0		
Hong Kong Policy Research Foundation Ltd		Other	Other	Education and training	2000			0		
Hong Kong Policy Research Foundation Ltd		Other	Other	Education and training	2001			0		
Hong Kong Policy Research Foundation Ltd		Other	Other	Education and training	2002			0		
Hong Kong Policy Research Foundation Ltd		Other	Other	Education and training	2003			0		
Hong Kong Policy Research Foundation Ltd		Other	Other	Education and training	2004			0		
Hong Kong Policy Research Foundation Ltd		Other	Other	Education and training	2005			0		
Hong Kong Policy Research Foundation Ltd		Other	Other	Education and training	2006			0		
Hong Kong Policy Research Foundation Ltd		Other	Other	Education and training	2007			0		
Hong Kong Policy Research Foundation Ltd		Other	Other	Education and training	2008			0		
Hong Kong Policy Research Foundation Ltd		Other	Other	Education and training	2009			0		
Hong Kong Policy Research Foundation Ltd		Other	Other	Education and training	2010			0		
Hong Kong Policy Research Foundation Ltd		Other	Other	Education and training	2011		910	910		To support the 2011 Social Enterprise Summit and related youth education and promotional programmes
Hong Kong Policy Research Foundation Ltd		Other	Other	Education and training	2012			0		
Hong Kong Policy Research Foundation Ltd		Other	Other	Education and training	2013		970	970		To fund the 2012 Social Enterprise Summit
Hong Kong Policy Research Foundation Ltd		Other	Other	Education and training	2014			0		
Hong Kong Policy Research Foundation Ltd		Other	Other	Education and training	2015			0		
Hong Kong Policy Research Foundation Ltd		Other	Other	Education and training	2016			0		
Hong Kong Policy Research Foundation Ltd		Other	Other	Education and training	2017			0		
Hong Kong Polo Association		Other	Other	"Sports, recreation and culture"	1980			0		
Hong Kong Polo Association		Other	Other	"Sports, recreation and culture"	1981		1	1		
Hong Kong Polo Association		Other	Other	"Sports, recreation and culture"	1982			0		
Hong Kong Polo Association		Other	Other	"Sports, recreation and culture"	1983			0		
Hong Kong Polo Association		Other	Other	"Sports, recreation and culture"	1984			0		
Hong Kong Polo Association		Other	Other	"Sports, recreation and culture"	1985			0		
Hong Kong Polo Association		Other	Other	"Sports, recreation and culture"	1986			0		
Hong Kong Polo Association		Other	Other	"Sports, recreation and culture"	1987			0		
Hong Kong Polo Association		Other	Other	"Sports, recreation and culture"	1988			0		
Hong Kong Polo Association		Other	Other	"Sports, recreation and culture"	1989			0		
Hong Kong Polo Association		Other	Other	"Sports, recreation and culture"	1990			0		
Hong Kong Polo Association		Other	Other	"Sports, recreation and culture"	1991			0		
Hong Kong Polo Association		Other	Other	"Sports, recreation and culture"	1992			0		
Hong Kong Polo Association		Other	Other	"Sports, recreation and culture"	1993			0		
Hong Kong Polo Association		Other	Other	"Sports, recreation and culture"	1994			0		
Hong Kong Polo Association		Other	Other	"Sports, recreation and culture"	1995			0		
Hong Kong Polo Association		Other	Other	"Sports, recreation and culture"	1996			0		
Hong Kong Polo Association		Other	Other	"Sports, recreation and culture"	1997			0		
Hong Kong Polo Association		Other	Other	"Sports, recreation and culture"	1998			0		
Hong Kong Polo Association		Other	Other	"Sports, recreation and culture"	1999			0		
Hong Kong Polo Association		Other	Other	"Sports, recreation and culture"	2000			0		
Hong Kong Polo Association		Other	Other	"Sports, recreation and culture"	2001			0		
Hong Kong Polo Association		Other	Other	"Sports, recreation and culture"	2002			0		
Hong Kong Polo Association		Other	Other	"Sports, recreation and culture"	2003			0		
Hong Kong Polo Association		Other	Other	"Sports, recreation and culture"	2004			0		
Hong Kong Polo Association		Other	Other	"Sports, recreation and culture"	2005			0		
Hong Kong Polo Association		Other	Other	"Sports, recreation and culture"	2006			0		
Hong Kong Polo Association		Other	Other	"Sports, recreation and culture"	2007			0		
Hong Kong Polo Association		Other	Other	"Sports, recreation and culture"	2008			0		
Hong Kong Polo Association		Other	Other	"Sports, recreation and culture"	2009			0		
Hong Kong Polo Association		Other	Other	"Sports, recreation and culture"	2010			0		
Hong Kong Polo Association		Other	Other	"Sports, recreation and culture"	2011			0		
Hong Kong Polo Association		Other	Other	"Sports, recreation and culture"	2012			0		
Hong Kong Polo Association		Other	Other	"Sports, recreation and culture"	2013			0		
Hong Kong Polo Association		Other	Other	"Sports, recreation and culture"	2014			0		
Hong Kong Polo Association		Other	Other	"Sports, recreation and culture"	2015			0		
Hong Kong Polo Association		Other	Other	"Sports, recreation and culture"	2016			0		
Hong Kong Polo Association		Other	Other	"Sports, recreation and culture"	2017			0		
Hong Kong Polytechnic University	Hong Kong Polytechnic	University	University	Education and training	1980			0		
Hong Kong Polytechnic University	Hong Kong Polytechnic	University	University	Education and training	1981		127	127		
Hong Kong Polytechnic University	Hong Kong Polytechnic	University	University	Education and training	1982			0		
Hong Kong Polytechnic University	Hong Kong Polytechnic	University	University	Education and training	1983			0		
Hong Kong Polytechnic University	Hong Kong Polytechnic	University	University	Education and training	1984			0		
Hong Kong Polytechnic University	Hong Kong Polytechnic	University	University	Education and training	1985		5	5		Wheelchair repair service
Hong Kong Polytechnic University	Hong Kong Polytechnic	University	University	Education and training	1986		41977	41977		"41,900 for Rehabilitation Engineering Centre; 77 for CATCH Project"
Hong Kong Polytechnic University	Hong Kong Polytechnic	University	University	Education and training	1987			0		
Hong Kong Polytechnic University	Hong Kong Polytechnic	University	University	Education and training	1988			0		
Hong Kong Polytechnic University	Hong Kong Polytechnic	University	University	Education and training	1989			0		
Hong Kong Polytechnic University	Hong Kong Polytechnic	University	University	Education and training	1990		3588	3588		"Three items: 815 for Hypertrophic Scar Studies; 473 for Research project on ""Elderly People with Mental Handicaps in Hong Kong""; 2,300 for Jockey Club Rehabilitation Engineering Centre"
Hong Kong Polytechnic University	Hong Kong Polytechnic	University	University	Education and training	1991			0		
Hong Kong Polytechnic University	Hong Kong Polytechnic	University	University	Education and training	1992		211	211		Research Project on Elderly People with Mental Handicaps in Hong Kong
Hong Kong Polytechnic University	Hong Kong Polytechnic	University	University	Education and training	1993			0		
Hong Kong Polytechnic University	Hong Kong Polytechnic	University	University	Education and training	1994		66260	66260		
Hong Kong Polytechnic University	Hong Kong Polytechnic	University	University	Education and training	1995			0		
Hong Kong Polytechnic University	Hong Kong Polytechnic	University	University	Education and training	1996		2158	2158		
Hong Kong Polytechnic University	Hong Kong Polytechnic	University	University	Education and training	1997			0		
Hong Kong Polytechnic University	Hong Kong Polytechnic	University	University	Education and training	1998		117000	117000		To subsidise the Student Hostels Deveopment Project
Hong Kong Polytechnic University	Hong Kong Polytechnic	University	University	Education and training	1999			0		
Hong Kong Polytechnic University	Hong Kong Polytechnic	University	University	Education and training	2000			0		
Hong Kong Polytechnic University	Hong Kong Polytechnic	University	University	Education and training	2001			0		
Hong Kong Polytechnic University	Hong Kong Polytechnic	University	University	Education and training	2002			0		
Hong Kong Polytechnic University	Hong Kong Polytechnic	University	University	Education and training	2003		19380	19380		To subsidise the Jockey Club Rehabilitaiton Engineering Centre to carry out space renovation and to conduct three thematic projects on technology for the elderly and the disabled
Hong Kong Polytechnic University	Hong Kong Polytechnic	University	University	Education and training	2004		24610	24610		To subsidise the implementation of a System for Multimedia Integrated Learning for all primary and secondary schools in Hong Kong (HKSAR Chief Executive's Community Projects List)
Hong Kong Polytechnic University	Hong Kong Polytechnic	University	University	Education and training	2005			0		
Hong Kong Polytechnic University	Hong Kong Polytechnic	University	University	Education and training	2006			0		
Hong Kong Polytechnic University	Hong Kong Polytechnic	University	University	Education and training	2007			0		
Hong Kong Polytechnic University	Hong Kong Polytechnic	University	University	Education and training	2008			0		
Hong Kong Polytechnic University	Hong Kong Polytechnic	University	University	Education and training	2009			0		
Hong Kong Polytechnic University	Hong Kong Polytechnic	University	University	Education and training	2010			0		
Hong Kong Polytechnic University	Hong Kong Polytechnic	University	University	Education and training	2011		249000	249000		To fund its Innovation Tower Project and the setting-up and operation of the Design Institute for Social Innovation for three years
Hong Kong Polytechnic University	Hong Kong Polytechnic	University	University	Education and training	2012			0		
Hong Kong Polytechnic University	Hong Kong Polytechnic	University	University	Education and training	2013			0		
Hong Kong Polytechnic University	Hong Kong Polytechnic	University	University	Education and training	2014		3000	3000		"To fund the launch of a ""PolyU Serves"" Community Services Project and its operation for three years"
Hong Kong Polytechnic University	Hong Kong Polytechnic	University	University	Education and training	2015			0		
Hong Kong Polytechnic University	Hong Kong Polytechnic	University	University	Education and training	2016		15480	15480		To fund the Intergenerational Learning Experience Programme for 3 1/2 years
Hong Kong Polytechnic University	Hong Kong Polytechnic	University	University	Education and training	2017		91230	91230		"Three items: 47,950 to fund the setting up of the Smart Ageing Hub and its operating costs for five years; 11,000 to fund the Jockey Club Human Libraries Hub for three years; 32,280 to To fund an enhancement project on urban tree risk management through the use of smart sensing technologies, capacity-building and public education programmes"
Hong Kong Pony Club		Riding schools	Riding schools	"Sports, recreation and culture"	1980			0		
Hong Kong Pony Club		Riding schools	Riding schools	"Sports, recreation and culture"	1981			0		
Hong Kong Pony Club		Riding schools	Riding schools	"Sports, recreation and culture"	1982			0		
Hong Kong Pony Club		Riding schools	Riding schools	"Sports, recreation and culture"	1983			0		
Hong Kong Pony Club		Riding schools	Riding schools	"Sports, recreation and culture"	1984			0		
Hong Kong Pony Club		Riding schools	Riding schools	"Sports, recreation and culture"	1985			0		
Hong Kong Pony Club		Riding schools	Riding schools	"Sports, recreation and culture"	1986		250	250		
Hong Kong Pony Club		Riding schools	Riding schools	"Sports, recreation and culture"	1987			0		
Hong Kong Pony Club		Riding schools	Riding schools	"Sports, recreation and culture"	1988			0		
Hong Kong Pony Club		Riding schools	Riding schools	"Sports, recreation and culture"	1989			0		
Hong Kong Pony Club		Riding schools	Riding schools	"Sports, recreation and culture"	1990			0		
Hong Kong Pony Club		Riding schools	Riding schools	"Sports, recreation and culture"	1991			0		
Hong Kong Pony Club		Riding schools	Riding schools	"Sports, recreation and culture"	1992			0		
Hong Kong Pony Club		Riding schools	Riding schools	"Sports, recreation and culture"	1993			0		
Hong Kong Pony Club		Riding schools	Riding schools	"Sports, recreation and culture"	1994			0		
Hong Kong Pony Club		Riding schools	Riding schools	"Sports, recreation and culture"	1995			0		
Hong Kong Pony Club		Riding schools	Riding schools	"Sports, recreation and culture"	1996			0		
Hong Kong Pony Club		Riding schools	Riding schools	"Sports, recreation and culture"	1997			0		
Hong Kong Pony Club		Riding schools	Riding schools	"Sports, recreation and culture"	1998			0		
Hong Kong Pony Club		Riding schools	Riding schools	"Sports, recreation and culture"	1999			0		
Hong Kong Pony Club		Riding schools	Riding schools	"Sports, recreation and culture"	2000			0		
Hong Kong Pony Club		Riding schools	Riding schools	"Sports, recreation and culture"	2001			0		
Hong Kong Pony Club		Riding schools	Riding schools	"Sports, recreation and culture"	2002			0		
Hong Kong Pony Club		Riding schools	Riding schools	"Sports, recreation and culture"	2003			0		
Hong Kong Pony Club		Riding schools	Riding schools	"Sports, recreation and culture"	2004			0		
Hong Kong Pony Club		Riding schools	Riding schools	"Sports, recreation and culture"	2005			0		
Hong Kong Pony Club		Riding schools	Riding schools	"Sports, recreation and culture"	2006			0		
Hong Kong Pony Club		Riding schools	Riding schools	"Sports, recreation and culture"	2007			0		
Hong Kong Pony Club		Riding schools	Riding schools	"Sports, recreation and culture"	2008			0		
Hong Kong Pony Club		Riding schools	Riding schools	"Sports, recreation and culture"	2009			0		
Hong Kong Pony Club		Riding schools	Riding schools	"Sports, recreation and culture"	2010			0		
Hong Kong Pony Club		Riding schools	Riding schools	"Sports, recreation and culture"	2011			0		
Hong Kong Pony Club		Riding schools	Riding schools	"Sports, recreation and culture"	2012			0		
Hong Kong Pony Club		Riding schools	Riding schools	"Sports, recreation and culture"	2013			0		
Hong Kong Pony Club		Riding schools	Riding schools	"Sports, recreation and culture"	2014			0		
Hong Kong Pony Club		Riding schools	Riding schools	"Sports, recreation and culture"	2015			0		
Hong Kong Pony Club		Riding schools	Riding schools	"Sports, recreation and culture"	2016			0		
Hong Kong Pony Club		Riding schools	Riding schools	"Sports, recreation and culture"	2017			0		
Hong Kong Professional Teachers' Union		Other	Other	Education and training	1980			0		
Hong Kong Professional Teachers' Union		Other	Other	Education and training	1981		24	24		
Hong Kong Professional Teachers' Union		Other	Other	Education and training	1982			0		
Hong Kong Professional Teachers' Union		Other	Other	Education and training	1983			0		
Hong Kong Professional Teachers' Union		Other	Other	Education and training	1984			0		
Hong Kong Professional Teachers' Union		Other	Other	Education and training	1985			0		
Hong Kong Professional Teachers' Union		Other	Other	Education and training	1986			0		
Hong Kong Professional Teachers' Union		Other	Other	Education and training	1987			0		
Hong Kong Professional Teachers' Union		Other	Other	Education and training	1988			0		
Hong Kong Professional Teachers' Union		Other	Other	Education and training	1989			0		
Hong Kong Professional Teachers' Union		Other	Other	Education and training	1990			0		
Hong Kong Professional Teachers' Union		Other	Other	Education and training	1991			0		
Hong Kong Professional Teachers' Union		Other	Other	Education and training	1992			0		
Hong Kong Professional Teachers' Union		Other	Other	Education and training	1993			0		
Hong Kong Professional Teachers' Union		Other	Other	Education and training	1994			0		
Hong Kong Professional Teachers' Union		Other	Other	Education and training	1995			0		
Hong Kong Professional Teachers' Union		Other	Other	Education and training	1996			0		
Hong Kong Professional Teachers' Union		Other	Other	Education and training	1997			0		
Hong Kong Professional Teachers' Union		Other	Other	Education and training	1998			0		
Hong Kong Professional Teachers' Union		Other	Other	Education and training	1999			0		
Hong Kong Professional Teachers' Union		Other	Other	Education and training	2000			0		
Hong Kong Professional Teachers' Union		Other	Other	Education and training	2001			0		
Hong Kong Professional Teachers' Union		Other	Other	Education and training	2002			0		
Hong Kong Professional Teachers' Union		Other	Other	Education and training	2003			0		
Hong Kong Professional Teachers' Union		Other	Other	Education and training	2004			0		
Hong Kong Professional Teachers' Union		Other	Other	Education and training	2005			0		
Hong Kong Professional Teachers' Union		Other	Other	Education and training	2006			0		
Hong Kong Professional Teachers' Union		Other	Other	Education and training	2007			0		
Hong Kong Professional Teachers' Union		Other	Other	Education and training	2008			0		
Hong Kong Professional Teachers' Union		Other	Other	Education and training	2009			0		
Hong Kong Professional Teachers' Union		Other	Other	Education and training	2010			0		
Hong Kong Professional Teachers' Union		Other	Other	Education and training	2011			0		
Hong Kong Professional Teachers' Union		Other	Other	Education and training	2012			0		
Hong Kong Professional Teachers' Union		Other	Other	Education and training	2013			0		
Hong Kong Professional Teachers' Union		Other	Other	Education and training	2014			0		
Hong Kong Professional Teachers' Union		Other	Other	Education and training	2015			0		
Hong Kong Professional Teachers' Union		Other	Other	Education and training	2016			0		
Hong Kong Professional Teachers' Union		Other	Other	Education and training	2017			0		
Hong Kong Recreation for the Deaf		Other	Other	Community services	1980			0		
Hong Kong Recreation for the Deaf		Other	Other	Community services	1981			0		
Hong Kong Recreation for the Deaf		Other	Other	Community services	1982			0		
Hong Kong Recreation for the Deaf		Other	Other	Community services	1983			0		
Hong Kong Recreation for the Deaf		Other	Other	Community services	1984			0		
Hong Kong Recreation for the Deaf		Other	Other	Community services	1985			0		
Hong Kong Recreation for the Deaf		Other	Other	Community services	1986			0		
Hong Kong Recreation for the Deaf		Other	Other	Community services	1987		23	23		
Hong Kong Recreation for the Deaf		Other	Other	Community services	1988			0		
Hong Kong Recreation for the Deaf		Other	Other	Community services	1989			0		
Hong Kong Recreation for the Deaf		Other	Other	Community services	1990			0		
Hong Kong Recreation for the Deaf		Other	Other	Community services	1991			0		
Hong Kong Recreation for the Deaf		Other	Other	Community services	1992			0		
Hong Kong Recreation for the Deaf		Other	Other	Community services	1993			0		
Hong Kong Recreation for the Deaf		Other	Other	Community services	1994			0		
Hong Kong Recreation for the Deaf		Other	Other	Community services	1995			0		
Hong Kong Recreation for the Deaf		Other	Other	Community services	1996			0		
Hong Kong Recreation for the Deaf		Other	Other	Community services	1997			0		
Hong Kong Recreation for the Deaf		Other	Other	Community services	1998			0		
Hong Kong Recreation for the Deaf		Other	Other	Community services	1999			0		
Hong Kong Recreation for the Deaf		Other	Other	Community services	2000			0		
Hong Kong Recreation for the Deaf		Other	Other	Community services	2001			0		
Hong Kong Recreation for the Deaf		Other	Other	Community services	2002			0		
Hong Kong Recreation for the Deaf		Other	Other	Community services	2003			0		
Hong Kong Recreation for the Deaf		Other	Other	Community services	2004			0		
Hong Kong Recreation for the Deaf		Other	Other	Community services	2005			0		
Hong Kong Recreation for the Deaf		Other	Other	Community services	2006			0		
Hong Kong Recreation for the Deaf		Other	Other	Community services	2007			0		
Hong Kong Recreation for the Deaf		Other	Other	Community services	2008			0		
Hong Kong Recreation for the Deaf		Other	Other	Community services	2009			0		
Hong Kong Recreation for the Deaf		Other	Other	Community services	2010			0		
Hong Kong Recreation for the Deaf		Other	Other	Community services	2011			0		
Hong Kong Recreation for the Deaf		Other	Other	Community services	2012			0		
Hong Kong Recreation for the Deaf		Other	Other	Community services	2013			0		
Hong Kong Recreation for the Deaf		Other	Other	Community services	2014			0		
Hong Kong Recreation for the Deaf		Other	Other	Community services	2015			0		
Hong Kong Recreation for the Deaf		Other	Other	Community services	2016			0		
Hong Kong Recreation for the Deaf		Other	Other	Community services	2017			0		
Hong Kong Red Cross	Hong Kong Red Cross Society	Social welfare provision (HKCSS agency members)	Other	Community services	1980	175		175		
Hong Kong Red Cross	Hong Kong Red Cross Society	Social welfare provision (HKCSS agency members)	Other	Community services	1981	188		188		
Hong Kong Red Cross	Hong Kong Red Cross Society	Social welfare provision (HKCSS agency members)	Other	Community services	1982	226		226		
Hong Kong Red Cross	Hong Kong Red Cross Society	Social welfare provision (HKCSS agency members)	Other	Community services	1983	170		170		
Hong Kong Red Cross	Hong Kong Red Cross Society	Social welfare provision (HKCSS agency members)	Other	Community services	1984		250	250		
Hong Kong Red Cross	Hong Kong Red Cross Society	Social welfare provision (HKCSS agency members)	Other	Community services	1985		154	154		
Hong Kong Red Cross	Hong Kong Red Cross Society	Social welfare provision (HKCSS agency members)	Other	Community services	1986			0		
Hong Kong Red Cross	Hong Kong Red Cross Society	Social welfare provision (HKCSS agency members)	Other	Community services	1987		475	475		
Hong Kong Red Cross	Hong Kong Red Cross Society	Social welfare provision (HKCSS agency members)	Other	Community services	1988		122	122		
Hong Kong Red Cross	Hong Kong Red Cross Society	Social welfare provision (HKCSS agency members)	Other	Community services	1989		1760	1760		
Hong Kong Red Cross	Hong Kong Red Cross Society	Social welfare provision (HKCSS agency members)	Other	Community services	1990		623	623		
Hong Kong Red Cross	Hong Kong Red Cross Society	Social welfare provision (HKCSS agency members)	Other	Community services	1991		851	851		
Hong Kong Red Cross	Hong Kong Red Cross Society	Social welfare provision (HKCSS agency members)	Other	Community services	1992		1530	1530		"Two items: 1,030 for unnamed purpose under Medical  & Health category; 500 for Library Services at Castle Peak Hospital"
Hong Kong Red Cross	Hong Kong Red Cross Society	Social welfare provision (HKCSS agency members)	Other	Community services	1993			0		
Hong Kong Red Cross	Hong Kong Red Cross Society	Social welfare provision (HKCSS agency members)	Other	Community services	1994			0		
Hong Kong Red Cross	Hong Kong Red Cross Society	Social welfare provision (HKCSS agency members)	Other	Community services	1995		49911	49911		
Hong Kong Red Cross	Hong Kong Red Cross Society	Social welfare provision (HKCSS agency members)	Other	Community services	1996			0		
Hong Kong Red Cross	Hong Kong Red Cross Society	Social welfare provision (HKCSS agency members)	Other	Community services	1997		720	720		
Hong Kong Red Cross	Hong Kong Red Cross Society	Social welfare provision (HKCSS agency members)	Other	Community services	1998	1581		1581		
Hong Kong Red Cross	Hong Kong Red Cross Society	Social welfare provision (HKCSS agency members)	Other	Community services	1999	1605	139	1744		To install air-conditioners at the hall of its Shek Pik Youth Camp
Hong Kong Red Cross	Hong Kong Red Cross Society	Social welfare provision (HKCSS agency members)	Other	Community services	2000	1621		1621		
Hong Kong Red Cross	Hong Kong Red Cross Society	Social welfare provision (HKCSS agency members)	Other	Community services	2001	1669		1669		
Hong Kong Red Cross	Hong Kong Red Cross Society	Social welfare provision (HKCSS agency members)	Other	Community services	2002	1669		1669		
Hong Kong Red Cross	Hong Kong Red Cross Society	Social welfare provision (HKCSS agency members)	Other	Community services	2003	1669		1669		
Hong Kong Red Cross	Hong Kong Red Cross Society	Social welfare provision (HKCSS agency members)	Other	Community services	2004	1669	42740	44409		To subsidise the reprovisioning project of the boarding section of the Princess Alexandra Red Cross Residential School
Hong Kong Red Cross	Hong Kong Red Cross Society	Social welfare provision (HKCSS agency members)	Other	Community services	2005	1669		1669	To fund its Youth Uniformed Group Leaders & Trainers Project	
Hong Kong Red Cross	Hong Kong Red Cross Society	Social welfare provision (HKCSS agency members)	Other	Community services	2006	1669		1669	To fund its Youth Uniformed Group Leaders & Trainers Project	
Hong Kong Red Cross	Hong Kong Red Cross Society	Social welfare provision (HKCSS agency members)	Other	Community services	2007	1669	4660	6329	To fund its Youth Uniformed Group Leaders & Trainers Project	To fund the construction of a connecting footbridge between the two campuses of the John F Kennedy Centre in Sandy Bay
Hong Kong Red Cross	Hong Kong Red Cross Society	Social welfare provision (HKCSS agency members)	Other	Community services	2008	1752		1752	To fund its Uniformed Group Leaders & Trainers Development Project	
Hong Kong Red Cross	Hong Kong Red Cross Society	Social welfare provision (HKCSS agency members)	Other	Community services	2009	1752		1752	To fund its Uniformed Group Leaders & Trainers Development Project	
Hong Kong Red Cross	Hong Kong Red Cross Society	Social welfare provision (HKCSS agency members)	Other	Community services	2010	1752		1752	To fund its Uniformed Group Leaders & Trainers Development Project	
Hong Kong Red Cross	Hong Kong Red Cross Society	Social welfare provision (HKCSS agency members)	Other	Community services	2011	1840	80000	81840	To fund its Uniformed Group Leaders & Trainers Development Project	To fund the redevelopment of Hong Kong Red Cross Headquarters building
Hong Kong Red Cross	Hong Kong Red Cross Society	Social welfare provision (HKCSS agency members)	Other	Community services	2012	1840		1840	To fund its Uniformed Group Leaders & Trainers Development Project	
